cgfr,cpe,cpe1,cpe2
-8.600006,-3.870001,4.67,19.27
6.700005,-4.74,-3.870001,4.67
1.900002,18.99,-4.74,-3.870001
-8.600006,2.330002,18.99,-4.74
-0.6999969,-10.82,2.330002,18.99
0.4000015,1.51,-10.82,2.330002
-4.300003,-4.49,1.51,-10.82
-4,-1.720001,-4.49,1.51
-2.799995,3.480001,-1.720001,-4.49
-6,7.349998,3.480001,-1.720001
-4.600006,-4.669998,7.349998,3.480001
0,-8.890001,-4.669998,7.349998
-4.599998,-3.49,-8.890001,-4.669998
-2.900002,13.45,-3.49,-8.890001
-5.399994,3.59,13.45,-3.49
2.199997,1.959999,3.59,13.45
-1.300003,3.07,1.959999,3.59
-1.399994,13.14,3.07,1.959999
1.299995,-7.329998,13.14,3.07
2,-10.57,-7.329998,13.14
-1.5,4.309998,-10.57,-7.329998
2.300003,16.8,4.309998,-10.57
3.5,49.16,16.8,4.309998
8.099998,35.21,49.16,16.8
2.800003,3.5,35.21,49.16
-5.900002,102.63,3.5,35.21
-2.5,-5.430008,102.63,3.5
16,-45.23999,-5.430008,102.63
11.4,-24.26001,-45.23999,-5.430008
-6,-19.11,-24.26001,-45.23999
-0.2000046,-2.73999,-19.11,-24.26001
-0.9000015,16.05,-2.73999,-19.11
5.300003,15.03999,16.05,-2.73999
2.400002,11.28999,15.03999,16.05
1.299995,-2.919998,11.28999,15.03999
2.900002,-21.04999,-2.919998,11.28999
0.4000015,5.110001,-21.04999,-2.919998
2.699997,0.4299927,5.110001,-21.04999
1.700005,-5.880005,0.4299927,5.110001
-2.700005,-6.459991,-5.880005,0.4299927
-1.399994,3.529999,-6.459991,-5.880005
-0.8000031,-3.910004,3.529999,-6.459991
-0.8000031,2.430008,-3.910004,3.529999
-5,0.8699951,2.430008,-3.910004
-3.699997,0.0299988,0.8699951,2.430008
-3.5,-18.88,0.0299988,0.8699951
-8.400002,-8.12999,-18.88,0.0299988
-5.299995,-0.6600037,-8.12999,-18.88
-3.700005,-0.1399994,-0.6600037,-8.12999
-1.900002,11.3,-0.1399994,-0.6600037
0.8000031,-2.480011,11.3,-0.1399994
1.400002,-12.03999,-2.480011,11.3
-6.099998,2.410004,-12.03999,-2.480011
-8.400002,11.86,2.410004,-12.03999
-4.200005,-3.980011,11.86,2.410004
-0.7999954,-10.37999,-3.980011,11.86
-2.400002,-8.130005,-10.37999,-3.980011
-0.1999969,-2.279999,-8.130005,-10.37999
1,-3.970001,-2.279999,-8.130005
-1.300003,2.870003,-3.970001,-2.279999
1.699997,13.94999,2.870003,-3.970001
1.200005,-9.759995,13.94999,2.870003
-1,-3.860001,-9.759995,13.94999
-0.0999985,-17.27,-3.860001,-9.759995
-1.5,-9.550003,-17.27,-3.860001
-0.4000015,-8.589996,-9.550003,-17.27
