avgprc,mon,tues,wed,thurs,t,wave2,wave3
0.700286,1,0,0,0,1,7.5,9
1.005336,0,0,1,0,2,5,7.5
1.393918,0,0,0,1,3,6,4
1.775487,0,0,0,0,4,6,5
0.8267987,1,0,0,0,5,3.5,3.5
0.889783,0,1,0,0,6,4.5,3.5
0.7919704,0,0,1,0,7,4.5,3.5
0.9264759,0,0,0,1,8,4,4.5
0.7001004,0,0,0,0,9,4,4.5
1.492184,1,0,0,0,10,12.5,3.5
1.577273,0,1,0,0,11,9,12.5
1.465736,0,0,1,0,12,7.5,12.5
1.317098,0,0,0,1,13,4.5,9
1.233916,0,0,0,0,14,4.5,7.5
0.9309279,1,0,0,0,15,6,4
0.844248,0,1,0,0,16,4,6
1.274349,0,0,1,0,17,8,6
1.168602,0,0,0,1,18,8,4
1.119792,0,0,0,0,19,7.5,8
1.088235,1,0,0,0,20,5.5,5
1.25,0,1,0,0,21,5.5,4.5
0.9413307,0,0,1,0,22,3,5.5
0.6224011,0,0,0,1,23,3.5,5.5
0.4690494,0,0,0,0,24,5,3
0.4778777,1,0,0,0,25,5.5,6
0.4859551,0,1,0,0,26,4,6
0.5773894,0,0,1,0,27,3,5.5
0.5389023,0,0,0,1,28,2.5,4
0.5853459,0,0,0,0,29,2.5,3
0.6489308,1,0,0,0,30,8,3
0.3797508,0,1,0,0,31,8,8
0.7003981,0,0,1,0,32,6.5,8
1.475036,0,0,0,1,33,6.5,8
1.423876,0,0,0,0,34,6.5,6.5
1.387987,1,0,0,0,35,6.5,3.5
1.608104,0,1,0,0,36,6.5,5
1.245136,0,0,1,0,37,4.5,6.5
0.9782867,0,0,0,1,38,4.5,6.5
0.5660215,0,0,0,0,39,5,4.5
0.4288102,0,1,0,0,40,4.5,3
0.2902674,0,0,1,0,41,5,4.5
0.4145408,0,0,0,1,42,5,4.5
0.4508743,0,0,0,0,43,4,5
0.5252252,1,0,0,0,44,4,4
0.4464912,0,1,0,0,45,5.5,3.5
0.7994413,0,0,1,0,46,6,4
1.210624,0,0,0,1,47,8,5.5
1.269338,0,0,0,0,48,8,6
1.119783,1,0,0,0,49,6,4
1.058863,0,1,0,0,50,4.5,6
0.7711436,0,0,1,0,51,4.5,6
0.7825781,0,0,0,1,52,4,4.5
0.5995181,0,0,0,0,53,3.5,4.5
0.4378819,1,0,0,0,54,5.5,3.5
0.6192384,0,1,0,0,55,3.5,5.5
0.7906837,0,0,1,0,56,5,5.5
0.7318745,0,0,0,1,57,6.5,3.5
0.6884326,0,0,0,0,58,6.5,5
0.6255262,1,0,0,0,59,3.5,6.5
0.5584529,0,1,0,0,60,4,4
0.958,0,0,1,0,61,5,3.5
1.117257,0,0,0,1,62,5,4
0.596926,0,0,0,0,63,8,5
0.9217899,1,0,0,0,64,3,8
0.7478415,0,1,0,0,65,7,3.5
0.6410686,0,0,1,0,66,7,3
0.6135297,0,0,0,1,67,4,7
0.8134199,0,0,0,0,68,5,7
1.17807,1,0,0,0,69,8,6.5
1.184762,0,1,0,0,70,6.5,8
0.8080992,0,0,1,0,71,4,8
0.6389916,0,0,0,1,72,4,6.5
0.5489655,0,0,0,0,73,4,4
0.6763517,1,0,0,0,74,4,4
0.6471429,0,1,0,0,75,4,4
0.5379647,0,0,1,0,76,3,4
0.693096,0,0,0,1,77,3,4
0.669837,0,0,0,0,78,3,3
0.7205088,1,0,0,0,79,3.5,3
0.6862023,0,1,0,0,80,4,3
0.7581081,0,0,1,0,81,4,3.5
0.7289923,0,0,0,1,82,3,4
0.7867627,0,0,0,0,83,4,4
0.7492321,0,1,0,0,84,4,4
0.8916826,0,0,1,0,85,3,4
0.8586667,0,0,0,1,86,5,4
0.5943913,0,0,0,0,87,5,3
0.6315441,1,0,0,0,88,3.5,3
0.5694444,0,1,0,0,89,3,3.5
0.4517464,0,0,1,0,90,3,3.5
0.408062,0,0,0,1,91,3,3
0.3127339,0,0,0,0,92,3.5,3
0.4294082,1,0,0,0,93,4.5,3.5
0.9077235,0,1,0,0,94,4.5,4
1.238571,0,0,1,0,95,5,4.5
1.25,0,0,0,1,96,6,4.5
1.725758,0,0,0,0,97,9,5
