salary,years,bavg,gamesyr,hrunsyr,rbisyr
6329213,12,289,142.0833,19.25,69.66666
3375000,8,259,114.75,9.125,42.75
3100000,5,299,150.2,9.2,71
2900000,8,245,132,13.375,52.625
1650000,12,258,99.66666,10.33333,45.08333
700000,17,286,119.5294,2.352941,33.76471
695000,4,234,98.5,9.25,35.25
275000,10,239,43.2,1.3,9.5
235000,4,240,55.75,0.25,7.25
212500,3,267,52,3.333333,19.66667
212500,2,248,84.5,7,22
180000,2,252,43.5,0.5,10.5
3400000,7,264,112.7143,12.14286,53.57143
2000000,2,182,22.5,0.5,2
1250000,4,259,110.5,8.75,52.25
825000,6,246,88,1.333333,21.66667
750000,7,292,100.1429,3,36.28571
200000,5,260,95.6,5.2,24.6
190000,2,271,84,1.5,21
138000,3,215,36.33333,2.666667,11
136000,2,223,43,2,13.5
125000,2,252,18.5,0,5.5
123000,1,293,32,0,7
123000,3,208,12.66667,0,1.333333
3000000,4,276,108.25,14.5,53
1537500,3,272,138.3333,7,50.66667
1500000,4,268,107.75,6,34
210000,2,277,65.5,4.5,28
170000,4,237,36.25,1,10.25
142500,2,234,63,2.5,14
126500,1,302,45,2,8
117500,2,181,17,0.5,2
115000,1,189,37,3,14
6200000,7,279,149.4286,19.28572,85.14286
3375000,16,290,152.75,25.875,97.625
2312500,8,265,127.625,2.25,31.875
2300000,10,285,132.8,4.8,47.9
2150000,11,253,116.2727,18.54545,61.09091
650000,9,278,103.3333,4.111111,29.44444
635000,10,250,41.1,1.2,9.6
500000,7,205,48.42857,1.714286,13.14286
475000,6,271,88.83334,1.333333,22.66667
195000,3,200,60,2.666667,13.66667
109000,1,222,30,3,10
2466667,8,285,116.375,6.5,35.375
2450000,7,297,132.8571,11.28571,63.71429
2416667,9,233,78.44444,8.333333,34.33333
2000000,7,255,112.5714,7.571429,36.14286
1375000,9,281,108.8889,4.111111,28.66667
1050000,7,246,129.1429,20.85714,67.14286
1000000,5,281,100,8.2,49
600000,9,277,77.55556,2.777778,26.33333
600000,3,263,94.66666,12.66667,43
300000,3,257,83.33334,1.666667,17.66667
250000,3,250,65,8,31.66667
150000,4,182,39.75,0.5,5.75
122500,2,209,27,0.5,5.5
4950000,10,276,139,14.4,68.8
2600000,7,257,95.57143,5.571429,34.14286
2350000,9,269,81.77778,1.777778,27
1066667,11,280,91.27273,5.363636,31.90909
1000000,15,289,98.33334,6,33.6
675000,4,230,91.25,9.25,38.75
675000,6,249,71.83334,4.833333,20.5
360000,10,244,95.2,2.6,22.4
305000,3,260,93,5.333333,36.66667
120000,3,239,12.66667,0,1.666667
112000,2,253,46,0,5.5
109000,1,167,12,0,2
109000,1,571,10,0,4
3897184,15,261,147.2,1.466667,45.4
2650000,6,278,102.8333,8.666667,46.66667
2575000,6,255,84.66666,2.166667,25.16667
2050000,9,261,111.2222,1.333333,24.88889
1025000,4,261,113.25,8.5,48.5
966667,10,263,97.2,5.2,35.7
508333,3,251,99,6.666667,31.66667
290000,3,274,114.3333,10.66667,55.66667
225000,3,242,58,7.333333,21
